Sport Pick List,League,Team,Team Inaugureal Year,Home Stadium Picklist,
Futbol,MLS,San Jose Earthquakes,2015,,
Futbol,MLS,Houston Dynamo,2012,,
Futbol,MLS,Vancouver Whitecaps FC,2011,,
Futbol,MLS,Toronto FC,2007,,
Futbol,MLS,Seattle Sounders FC,2009,,
Futbol,MLS,Orlando City SC,2015,,
Futbol,MLS,Colorado Rapids,2007,,
Futbol,MLS,New England Revolution,2002,,
Futbol,MLS,Columbus Crew SC,1999,,
Futbol,MLS,Philadelphia Union,2010,,
Futbol,MLS,Portland Timbers,2011,,
Futbol,MLS,New York Red Bulls,2010,,
Futbol,MLS,D.C. United,1996,,
Futbol,MLS,Real Salt Lake,2008,,
Futbol,MLS,Montreal Impact,2012,,
Futbol,MLS,Sporting Kansas City,2011,,
Futbol,MLS,Los Angeles Galaxy,2003,,
Futbol,MLS,Chicago Fire,2006,,
Futbol,MLS,FC Dallas,2005,,
Futbol,MLS,New York City FC,2015,,
Futbol,La Liga,FC Barcelona,,,
Futbol,La Liga,Racing de Ferrol,,,
Futbol,La Liga,Atlético Ceuta,,,
Futbol,La Liga,Real Madrid Castilla,,,
Futbol,La Liga,UD Melilla,,,
Futbol,La Liga,CD Mirandés,,,
Futbol,La Liga,Real Sociedad,,,
Futbol,La Liga,CD Lugo,,,
Futbol,La Liga,La Hoya Lorca CF,,,
Futbol,La Liga,San Fernando CD,,,
Futbol,La Liga,Celta de Vigo,,,
Futbol,La Liga,Real Betis,,,
Futbol,La Liga,CD Leganés,,,
Futbol,La Liga,CF Badalona,,,
Futbol,La Liga,Lleida Esportiu,,,
Futbol,La Liga,UD Ibiza-Eivissa,,,
Futbol,La Liga,Albacete Balompié,,,
Futbol,La Liga,Real Oviedo,,,
Futbol,La Liga,FC Cartagena,,,
Futbol,La Liga,CD Castellón,,,
Futbol,La Liga,Xerez CD,,,
Futbol,La Liga,Athletics,,,
Futbol,La Liga,CD Puertollano,,,
Futbol,La Liga,Sevilla Atlético,,,
Futbol,La Liga,Levante UD,,,
Futbol,La Liga,Getafe CF,,,
Futbol,La Liga,SD Huesca,,,
Futbol,La Liga,Real Aranjuez CF,,,
Futbol,La Liga,UD Salamanca,,,
Futbol,La Liga,Villarreal CF,,,
Futbol,La Liga,Gimnástica de Torrelavega,,,
Futbol,La Liga,Sporting de Gijón,,,
Futbol,La Liga,Arandina CF,,,
Futbol,La Liga,Burgos CF,,,
Futbol,La Liga,CF Talavera de la Reina,,,
Futbol,La Liga,CA Osasuna,,,
Futbol,La Liga,Racing de Santander,,,
Futbol,La Liga,CD Móstoles,,,
Futbol,La Liga,SD Ponferradina,,,
Futbol,La Liga,CD Atlético Baleares,,,
Futbol,La Liga,RCD Espanyol,,,
Futbol,La Liga,CE L'Hospitalet,,,
Futbol,La Liga,CD Tudelano,,,
Futbol,La Liga,UD Almería,,,
Futbol,La Liga,RSD Alcalá,,,
Futbol,La Liga,UB Conquense,,,
Futbol,La Liga,"UD Logroñés, SD Logroñés",,,
Futbol,La Liga,CD Numancia,,,
Futbol,La Liga,Extremadura UD,,,
Futbol,La Liga,UD Las Palmas,,,
Futbol,La Liga,Benidorm CF,,,
Futbol,La Liga,CD Tenerife,,,
Futbol,La Liga,RCD Mallorca,,,
Futbol,La Liga,SD Eibar,,,
Futbol,La Liga,Hércules CF,,,
Futbol,La Liga,Real Valladolid,,,
Futbol,La Liga,UD Almería B,,,
Futbol,La Liga,None,,,
Futbol,La Liga,Ciudad de Murcia,,,
Futbol,La Liga,Real Zaragoza,,,
Futbol,La Liga,Málaga CF,,,
Futbol,La Liga,Real Jaén,,,
Futbol,La Liga,Sestao River Club,,,
Futbol,La Liga,Barakaldo CF,,,
Futbol,La Liga,Linares Deportivo,,,
Futbol,La Liga,None,,,
Futbol,La Liga,Granada CF,,,
Futbol,La Liga,Elche CF,,,
Futbol,La Liga,Deportivo Alavés,,,
Futbol,La Liga,Valencia CF,,,
Futbol,La Liga,FC Barcelona B,,,
Futbol,La Liga,Girona FC,,,
Futbol,La Liga,RB Linense,,,
Futbol,La Liga,CR Cisneros (rugby),,,
Futbol,La Liga,UE Sant Andreu,,,
Futbol,La Liga,Gimnàstic de Tarragona,,,
Futbol,La Liga,CE Europa,,,
Futbol,La Liga,CE Sabadell FC,,,
Futbol,La Liga,CD Cristo Atlético,,,
Futbol,La Liga,Real Murcia,,,
Futbol,La Liga,Córdoba CF,,,
Futbol,La Liga,Recreativo de Huelva,,,
Futbol,La Liga,Algeciras CF,,,
Futbol,La Liga,CD Badajoz,,,
Futbol,La Liga,CD Ourense,,,
Futbol,La Liga,Terrassa FC,,,
Futbol,La Liga,Palamós CF,,,
Futbol,La Liga,Pontevedra CF,,,
Futbol,La Liga,Guadalajara,,,
Futbol,La Liga,CR El Salvador,,,
Futbol,La Liga,CP Cacereño,,,
Futbol,La Liga,Cádiz CF,,,
Futbol,La Liga,Sevilla FC,,,
Futbol,La Liga,Cultural y Deportiva Leonesa,,,
Futbol,La Liga,Deportivo de La Coruña,,,
Futbol,La Liga,"Mérida UD, Imperio",,,
Futbol,La Liga,Zamora CF,,,
Futbol,La Liga,CD Toledo,,,
Futbol,La Liga,SD Compostela,,,
Futbol,La Liga,Athletic Bilbao,,,
Futbol,La Liga,Real Madrid C.F.,,,
Futbol,La Liga,Polideportivo Ejido,,,
Futbol,La Liga,AD Alcorcón,,,
Futbol,La Liga,Real Unión,,,
Futbol,La Liga,Real Avilés,,,
Futbol,La Liga,Rayo Vallecano,,,
Futbol,La Liga,Atlético Madrid,,,
Futbol,La Liga,UE Figueres,,,
Futbol,La Liga,SD Tenisca,,,
,,,,,